token_id,token_str,count,log_count
3324, bring,13588,4.1331555381979905
3022,like,13577,4.1328038180019995
1361, help,13572,4.13264385097308
495, 3,13538,4.13155450976124
5294,"%,",13521,4.13100881279064
657, V,13503,4.1304302676581415
391, r,13499,4.130301597341845
1032,ars,13480,4.129689892199301
1475, around,13455,4.128883702099773
3644, dark,13442,4.128463891064761
6593, forth,13438,4.128334636753716
1846, common,13428,4.128011332575975
1893, So,13423,4.127849590187638
2266, strong,13404,4.1272344191632335
2577,my,13361,4.125838963995005
2348,ened,13343,4.125253486024798
4934, kept,13334,4.124960450789545
5101, sun,13317,4.124406399745029
1509, pass,13300,4.123851640967086
3874, town,13286,4.123394248105531
405,ess,13267,4.122772729138599
3378,With,13264,4.122674513206198
2819, looking,13250,4.122215878272827
459,ure,13227,4.121461353545985
356,ag,13189,4.120211868257074
2614, blood,13174,4.119717659105495
404,ain,13118,4.117867626566016
50270,        ,13101,4.117304446641002
2458,ians,13098,4.117204986092783
2104, able,13051,4.115643789669941
302,ot,13036,4.115144351793107
2810, close,13011,4.114310676868424
964,.,12982,4.113341604795105
304,ig,12966,4.112806017266885
6174, arms,12963,4.112705521030892
1091, return,12963,4.112705521030892
837,oth,12911,4.110959881124878
373,res,12902,4.110657037558031
5112, French,12885,4.110084422886923
1959, free,12854,4.109038295574381
1093,18,12846,4.108767917678082
5854, England,12824,4.108023509346088
5968, spirit,12820,4.107888025182799
2347,How,12779,4.106496870138972
1189,over,12751,4.105544245746573
3551, coming,12750,4.105510184769974
433,red,12745,4.1053398398052865
892, fl,12740,4.105169427999332
1966, human,12720,4.104487111312395
721, 6,12696,4.103666913746792
1313, met,12683,4.103221992452924
55,V,12668,4.102708054699875
2502, red,12665,4.102605194126567
2205,ley,12646,4.101953177477199
3003, THE,12638,4.101678351027969
921, show,12629,4.101368963249251
1896, possible,12624,4.101196985865345
2136, business,12605,4.100542850012465
5730, wish,12590,4.100025730107863
4404, towards,12582,4.099749680848987
1928, feel,12581,4.099715162351024
8544, army,12576,4.099542528695332
2847, cause,12573,4.099438915553507
4125,Now,12543,4.0984014222700775
5545, doubt,12520,4.097604328874411
2469, past,12516,4.097465554474156
911,ex,12515,4.097430853944242
5412, cold,12508,4.0971878725708955
299, e,12498,4.09684052033139
5130, eye,12491,4.096597208357894
2403, making,12488,4.096492890054361
1201,day,12483,4.09631897051261
968,ins,12477,4.096110175084596
23,6,12381,4.092755723597079
3686, sort,12357,4.09191304667608
547,ice,12356,4.091877899629413
10692, lady,12275,4.089021500795006
4929, brother,12261,4.088525892431256
4857, letter,12251,4.088171539864352
371,qu,12245,4.087958789460733
614,ite,12233,4.087532975734094
555,ty,12222,4.087142279383808
2021, family,12222,4.087142279383808
2256, subject,12212,4.086786795626624
26836,"--""",12209,4.086680093734625
2920,fully,12206,4.086573365620574
587,ile,12199,4.086324231307385
7477, mine,12173,4.085397622016969
3128, party,12170,4.085290578230065
2374,On,12167,4.085183508052778
1663, really,12148,4.084504783246228
505,ast,12139,4.0841829114204735
8370, Roman,12136,4.084075567778674
6330, peace,12127,4.083753377570011
1027, different,12123,4.08361010516231
5293, none,12102,4.082857148596409
2369,no,12063,4.081455327822574
490, ab,12019,4.079868335175173
3722, bed,12006,4.079398339019855
3981, saying,12001,4.079217435746567
8815, horse,11973,4.078202982503686
507,ans,11924,4.076421967360593
561,ens,11911,4.075948224644035
474,ical,11908,4.075838825974687
2186, hold,11906,4.075765878215734
2934, idea,11903,4.075656433597934
885,ise,11890,4.075181854618692
1698, low,11881,4.074852995881248
2959, received,11876,4.074670188924007
